post_title,post_content,post_status,tags,category,sub_category,sub_category_description
"Avoid being condescending, it’s not helping anyone","If your SO has certain preferences that do not match yours, or certain worries you cannot relate to, there is no need to be all high and mighty. It’s just plain rude to dismiss someone’s choices, especially since you’re one of them!",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Stay away from the criticism train,"Even if it feels like the world would be better if you ran it, abstain from constantly criticizing everything. It will add to the list of things to worry about and won’t help anyone in the long run. Try to maintain a positive atmosphere.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Take breaks when necessary,"Everyone needs some space and downtime eventually. Hence, being stuck at home for a prolonged period will make you get on each other’s nerves. Just move into the next room for a bit and you will soon be refreshed for another cuddle sesh.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Try a new routine,"Being in quarantine is an eye-opener. What previously seemed like a monotonous routine is now a blessing you didn’t appreciate enough. If staying indoors is making you a slouch, then find a new normal that’ll keep you stimulated.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Get some “alone together” time to ignite the flame,"Between working and struggling to maintain a semblance of social life, couples tend to have less time with each other. So, if it’s been a while since you’ve shared some intimate moments, you have all the time in the world now.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Go on dates,Just because you cannot leave your home does not mean you cannot have a date! Set up a romantic candlelight dinner with soft music and feed your boo some mac and cheese.,Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Check-in on your partner,"To try to maintain a sense of normalcy, check in on your SO throughout the day just as you would if the two of you were at work. It always feels nice to know someone is looking out for you.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Get in those couple workouts,"Keeping your mind and body healthy should be your number one priority in these tough times. So, without wasting any more time, plan a workout schedule and ensure that the two of you stick to it. Nothing like having a workout partner!",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Make some future plans,Being shut in together is a great time to discuss the future. Do you both want to plan for kids? Adopt a pet? Where do you’ll see yourselves individually and together in five years?,Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Pick up a new two-people hobby,"Gardening, 8000-piece puzzles, unsolved crimes, ridiculous games that you would never opt to play — everything is now an option. You can also seriously consider picking up a new skill or shared activity such as baking.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Have those deep meaningful conversations,"Drowning amidst all the deadlines means you’ve probably been short on time to actually talk to your partner. Instead of a few short sentences every night, have a conversation you’ve been meaning to or just sit and reminisce for hours together.",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
Play board games but with a twist,"There’s only so much Netflix one can binge. Pull the plug on that plan, literally, and get out those old dusty board games and get to playing. Try spicing things up by adding a challenge to it!",Draft,Love & Sex,Gallery,22 Ways to Get Out of This Quarantine With Your Sanity and Relationship Intact,"Being cooped up indoors can be testing if you’re not used to it, especially with a whole other person added to this mix. They tell you absence makes the heart grow fonder but nobody tells you what happens if your partner is a room away at all times with the TV playing loudly. Throw in a tense environment too and bam! You’ve got a recipe for disaster. There’s no denying that things can be difficult, but do they have to be this way? Not if it can be helped! 

Here are 22 ways you can ensure you, your SO, and the relationship survives this quarantine. 
"
